item,itemLabel,startDate,endDate,party,partyLabel,district,districtLabel
Q44116439,Stephen Andrew,,,Q1585274,One Nation,Q5355667,Mirani
Q18977727,Mark Bailey,,,Q55604512,Labor,Q30641918,Miller
Q7366970,Ros Bates,,,Q1822905,LNP,Q5355726,Mudgeeraba
Q7608697,Stephen Bennett,,,Q1822905,LNP,Q5355185,Burnett
Q44775990,Michael Berkman,,,Q7270946,Greens,Q30641923,Maiwar
Q6161053,Jarrod Bleijie,,,Q1822905,LNP,Q5355554,Kawana
Q43728340,Sandy Bolton,,,Q327591,Independent,Q5355786,Noosa
Q6766782,Mark Boothman,,,Q1822905,LNP,Q30641906,Theodore
Q43724669,Colin Boyce,,,Q1822905,LNP,Q5355199,Callide
Q18977782,Nikki Boyd,,,Q55604512,Labor,Q5355856,Pine Rivers
Q18977785,Don Brown,,,Q55604512,Labor,Q5355209,Capalaba
Q38494783,Jonty Bush,,,Q55604512,Labor,Q30641927,Cooper
Q18977796,Glenn Butcher,,,Q55604512,Labor,Q17005301,Gladstone
Q101068208,Amanda Camm,,,Q1822905,LNP,Q5356123,Whitsunday
Q6829524,Michael Crandon,,,Q1822905,LNP,Q5355271,Coomera
Q18977875,Craig Crawford,,,Q55604512,Labor,Q5355085,Barron River
Q5232664,David Crisafulli,,,Q1822905,LNP,Q5355162,Broadwater
Q8062364,Yvette D'Ath,,,Q55604512,Labor,Q5355888,Redcliffe
Q45005820,Nick Dametto,,,Q6378340,KAP,Q5355515,Hinchinbrook
Q18977905,Mick de Brenni,,,Q55604512,Labor,Q5355969,Springwood
Q5026232,Cameron Dick,,,Q55604512,Labor,Q5356151,Woodridge
Q18977960,Leeanne Enoch,,,Q55604512,Labor,Q5355030,Algester
Q5270029,Di Farmer,,,Q55604512,Labor,Q5355171,Bulimba
Q18977976,Shannon Fentiman,,,Q55604512,Labor,Q5356085,Waterford
Q5247768,Deb Frecklington,,,Q1822905,LNP,Q5355750,Nanango
Q6767697,Mark Furner,,,Q55604512,Labor,Q5355395,Ferny Grove
Q89295140,Laura Gerber,,,Q1822905,LNP,Q5355299,Currumbin
Q18978016,Julieanne Gilbert,,,Q55604512,Labor,Q5355618,Mackay
Q5591194,Grace Grace,,,Q55604512,Labor,Q30641935,McConnel
Q18978053,Aaron Harper,,,Q55604512,Labor,Q5356030,Thuringowa
Q6830979,Michael Hart,,,Q1822905,LNP,Q5355184,Burleigh
Q44113020,Michael Healy,,,Q55604512,Labor,Q5355198,Cairns
Q7617574,Stirling Hinchliffe,,,Q55604512,Labor,Q5355923,Sandgate
Q18978093,Jennifer Howard,,,Q55604512,Labor,Q5355530,Ipswich
Q101083798,Jason Hunt,,,Q55604512,Labor,Q5355200,Caloundra
Q25934831,David Janetzki,,,Q1822905,LNP,Q5356037,Toowoomba South
Q7340263,Robbie Katter,,,Q6378340,KAP,Q30641938,Traeger
Q19519193,Joe Kelly,,,Q55604512,Labor,Q5355472,Greenslopes
Q101068422,Ali King,,,Q55604512,Labor,Q5355876,Pumicestone
Q19519204,Shane King,,,Q55604512,Labor,Q5355581,Kurwongbah
Q7488127,Shane Knuth,,,Q6378340,KAP,Q30641934,Hill
Q6271086,Jon Krause,,,Q1822905,LNP,Q30641907,Scenic Rim
Q6217360,John-Paul Langbroek,,,Q1822905,LNP,Q5355992,Surfers Paradise
Q19519383,Dale Last,,,Q1822905,LNP,Q5355182,Burdekin
Q19561158,Brittany Lauga,,,Q55604512,Labor,Q5355562,Keppel
Q19519113,Ann Leahy,,,Q1822905,LNP,Q5356077,Warrego
Q19518802,Leanne Linard,,,Q55604512,Labor,Q5355823,Nudgee
Q47541988,James Lister,,,Q1822905,LNP,Q5355962,Southern Downs
Q43851899,Cynthia Lui,,,Q55604512,Labor,Q5355267,Cook
Q101064808,Amy MacMahon,,,Q7270946,Greens,Q5355949,South Brisbane
Q19519244,Jim Madden,,,Q55604512,Labor,Q5355532,Ipswich West
Q7803885,Tim Mander,,,Q1822905,LNP,Q5355389,Everton
Q107639233,James Martin,,,Q55604512,Labor,Q5355985,Stretton
Q89388718,Lance McCallum,,,Q55604512,Labor,Q5355180,Bundamba
Q47545518,Jim McDonald,,,Q1822905,LNP,Q5355605,Lockyer
Q44775995,Melissa McMahon,,,Q55604512,Labor,Q30641915,Macalister
Q43726900,Corrine McMillan,,,Q55604512,Labor,Q5355631,Mansfield
Q44045315,Bart Mellish,,,Q55604512,Labor,Q5355056,Aspley
Q43723931,Brent Mickelberg,,,Q1822905,LNP,Q5355170,Buderim
Q19561555,Steven Miles,,,Q55604512,Labor,Q5355745,Murrumba
Q19519532,Lachlan Millar,,,Q1822905,LNP,Q5355473,Gregory
Q7613391,Steve Minnikin,,,Q1822905,LNP,Q5355233,Chatsworth
Q7340386,Rob Molhoek,,,Q1822905,LNP,Q5355965,Southport
Q43724662,Charis Mullen,,,Q55604512,Labor,Q30641922,Jordan
Q7804046,Tim Nicholls,,,Q1822905,LNP,Q5355241,Clayfield
Q43964310,Sam O'Connor,,,Q1822905,LNP,Q30641900,Bonney
Q47545523,Barry O'Rourke,,,Q55604512,Labor,Q5355906,Rockhampton
Q4768021,Annastacia Palaszczuk,,,Q55604512,Labor,Q5355525,Inala
Q19519031,Joan Pease,,,Q55604512,Labor,Q5355615,Lytton
Q19518856,Duncan Pegg,,,Q55604512,Labor,Q5355985,Stretton
Q19519415,Tony Perrett,,,Q1822905,LNP,Q5355481,Gympie
Q5195856,Curtis Pitt,,,Q55604512,Labor,Q5355729,Mulgrave
Q4758300,Andrew Powell,,,Q1822905,LNP,Q5355443,Glass House
Q19518734,Linus Power,,,Q55604512,Labor,Q5355606,Logan
Q43726871,Jess Pugh,,,Q55604512,Labor,Q5355721,Mount Ommaney
Q43727612,Dan Purdie,,,Q1822905,LNP,Q30641936,Ninderry
Q44115773,Kim Richards,,,Q55604512,Labor,Q5355890,Redlands
Q6769470,Mark Robinson,,,Q1822905,LNP,Q30641916,Oodgeroo
Q19519496,Christian Rowan,,,Q1822905,LNP,Q5355676,Moggill
Q19519352,Peter Russo,,,Q55604512,Labor,Q30641919,Toohey
Q6769538,Mark Ryan,,,Q55604512,Labor,Q5355691,Morayfield
Q19605045,Bruce Saunders,,,Q55604512,Labor,Q5355638,Maryborough
Q44219403,Meaghan Scanlon,,,Q55604512,Labor,Q5355425,Gaven
Q5451108,Fiona Simpson,,,Q1822905,LNP,Q17012097,Maroochydore
Q101579940,Robert Skelton,,,Q55604512,Labor,Q5355780,Nicklin
Q101579945,Tom Smith,,,Q55604512,Labor,Q5355178,Bundaberg
Q7298155,Ray Stevens,,,Q1822905,LNP,Q5355650,Mermaid Beach
Q19519202,Scott Stewart,,,Q55604512,Labor,Q5356042,Townsville
Q101071308,Jimmy Sullivan,,,Q55604512,Labor,Q5355977,Stafford
Q101069574,Adrian Tantari,,,Q55604512,Labor,Q5355510,Hervey Bay
Q101074121,Les Walker,,,Q55604512,Labor,Q5355732,Mundingburra
Q7839480,Trevor Watts,,,Q1822905,LNP,Q17003566,Toowoomba North
Q19519223,Pat Weir,,,Q1822905,LNP,Q5355263,Condamine
Q19519163,Chris Whiting,,,Q55604512,Labor,Q30641896,Bancroft
