item,itemLabel,startDate,endDate,district,districtLabel,party,partyLabel,psid
Q101064808,Amy MacMahon,2020-10-31,,Q5355949,South Brisbane,Q7270946,Queensland Greens,Q101064808-D5E0EEA2-4735-4A50-95F7-6B1B4793A899
Q101068208,Amanda Camm,2020-10-31,,Q5356123,Whitsunday,Q1822905,Liberal National Party of Queensland,Q101068208-0e59406b-4eb3-aa88-98f0-1ca78b08e170
Q101068422,Ali King,2020-10-31,,Q5355876,Pumicestone,Q55604512,Australian Labor Party (Queensland Branch),Q101068422-16fb862c-4805-5754-0c19-8bc0a3cb6314
Q101069574,Adrian Tantari,2020-10-31,,Q5355510,Hervey Bay,Q55604512,Australian Labor Party (Queensland Branch),Q101069574-89F57255-0DAC-4419-93B9-0AC1CF45209C
Q101071308,Jimmy Sullivan,2020-10-31,,Q5355977,Stafford,Q55604512,Australian Labor Party (Queensland Branch),Q101071308-c2cce660-4c9c-3159-bff4-ccd662a5ca57
Q101074121,Les Walker,2020-10-31,,Q5355732,Mundingburra,Q55604512,Australian Labor Party (Queensland Branch),Q101074121-48f07039-4161-d2cc-6b81-f39f59822559
Q101083798,Jason Hunt,2020-10-31,,Q5355200,Caloundra,Q55604512,Australian Labor Party (Queensland Branch),Q101083798-6433129A-9CDF-4648-B580-379AC42411D8
Q101579940,Robert Skelton,2020-10-31,,Q5355780,Nicklin,Q55604512,Australian Labor Party (Queensland Branch),Q101579940-099F8FDC-0585-4334-A298-A355B9CC24A8
Q101579945,Tom Smith,2020-10-31,,Q5355178,Bundaberg,Q55604512,Australian Labor Party (Queensland Branch),Q101579945-A0DC2458-12AB-4221-B860-B4B9DB98E0C6
Q107639233,James Martin,2021-07-24,,Q5355985,Stretton,Q55604512,Australian Labor Party (Queensland Branch),Q107639233-aa7e1607-4ab6-0c8c-e3ef-39c36f69a85f
Q112648354,Bryson Head,2022-06-18,,Q5355199,Callide,,,Q112648354-3fcb80e4-4ff6-81a4-e54d-43bc1da6c6d4
Q18977727,Mark Bailey,2017-11-25,,Q30641918,Miller,Q55604512,Australian Labor Party (Queensland Branch),Q18977727-ffa177ef-42ed-d3fe-025b-678e81430125
Q18977782,Nikki Boyd,2015-01-31,,Q5355856,Pine Rivers,Q55604512,Australian Labor Party (Queensland Branch),Q18977782-96e15869-4c5a-c0b0-1893-cd5cbb14fdaa
Q18977785,Don Brown,2015-01-31,,Q5355209,Capalaba,Q55604512,Australian Labor Party (Queensland Branch),Q18977785-66a29417-4391-170e-ef5b-9a21a56effb0
Q18977796,Glenn Butcher,2015-01-31,,Q17005301,Gladstone,Q55604512,Australian Labor Party (Queensland Branch),Q18977796-413c2174-45ab-0d67-130d-327f8b83ae5c
Q18977875,Craig Crawford,2015-01-31,,Q5355085,Barron River,Q55604512,Australian Labor Party (Queensland Branch),Q18977875-ecfd9582-408c-dacb-833b-3d0e189b0e66
Q18977905,Mick de Brenni,2015-01-31,,Q5355969,Springwood,Q55604512,Australian Labor Party (Queensland Branch),Q18977905-FA19D257-65AC-4914-A1E3-1745485E040F
Q18977960,Leeanne Enoch,2015-01-31,,Q5355030,Algester,Q55604512,Australian Labor Party (Queensland Branch),Q18977960-8A6B0AFE-D15C-4905-87A4-B03AFC568D1B
Q18977976,Shannon Fentiman,2015-01-31,,Q5356085,Waterford,Q55604512,Australian Labor Party (Queensland Branch),Q18977976-3847B1BF-DDAD-490E-8882-1B1A575A93B6
Q18978016,Julieanne Gilbert,2015-01-31,,Q5355618,Mackay,Q55604512,Australian Labor Party (Queensland Branch),Q18978016-65E01A78-2AC1-4982-B8D3-2701123CCA52
Q18978053,Aaron Harper,2015-01-31,,Q5356030,Thuringowa,Q55604512,Australian Labor Party (Queensland Branch),Q18978053-F7A2975F-F866-4206-8C35-B66994DC397E
Q18978093,Jennifer Howard,2015-01-31,,Q5355530,Ipswich,Q55604512,Australian Labor Party (Queensland Branch),Q18978093-6FAFF128-464B-40EF-967B-531C89E74FAA
Q19518734,Linus Power,2015-01-31,,Q5355606,Logan,Q55604512,Australian Labor Party (Queensland Branch),Q19518734-F55AC4F8-7EDD-4D80-BD60-616204A2CF25
Q19518802,Leanne Linard,2015-01-31,,Q5355823,Nudgee,Q55604512,Australian Labor Party (Queensland Branch),Q19518802-94551ED8-B439-487B-9637-75CEC5C43495
Q19518856,Duncan Pegg,2015-01-31,2021-06-10,Q5355985,Stretton,Q55604512,Australian Labor Party (Queensland Branch),Q19518856-563018AD-D644-4B90-B8BC-A919E8FC8DC6
Q19519031,Joan Pease,2015-01-31,,Q5355615,Lytton,Q55604512,Australian Labor Party (Queensland Branch),Q19519031-0CC6CCD0-4782-48E8-ADBA-5F72CDE6E213
Q19519113,Ann Leahy,2015-01-31,,Q5356077,Warrego,Q1822905,Liberal National Party of Queensland,Q19519113-D13464F5-F75D-4881-9780-15068092174B
Q19519163,Chris Whiting,2017-11-25,,Q30641896,Bancroft,Q55604512,Australian Labor Party (Queensland Branch),Q19519163-ce56853d-420b-8320-b55b-9abe57c6c90f
Q19519193,Joe Kelly,2015-01-31,,Q5355472,Greenslopes,Q55604512,Australian Labor Party (Queensland Branch),Q19519193-1E3FF509-9766-4576-9836-64AC99589AAC
Q19519202,Scott Stewart,2015-01-31,,Q5356042,Townsville,Q55604512,Australian Labor Party (Queensland Branch),Q19519202-1E61F7E9-C261-4CAB-82FA-73225A6EE1B9
Q19519204,Shane King,2017-11-25,,Q5355581,Kurwongbah,Q55604512,Australian Labor Party (Queensland Branch),Q19519204-accba541-42d9-5603-f220-96b5cb09a0ad
Q19519223,Pat Weir,2015-01-31,,Q5355263,Condamine,Q1822905,Liberal National Party of Queensland,Q19519223-F58E655E-03F4-418F-956D-BA546390B849
Q19519244,Jim Madden,2015-01-31,,Q5355532,Ipswich West,Q55604512,Australian Labor Party (Queensland Branch),Q19519244-FCFFCDED-D7EA-47F7-89BD-0B2ACA8E8026
Q19519352,Peter Russo,2017-11-25,,Q30641919,Toohey,Q55604512,Australian Labor Party (Queensland Branch),Q19519352-f02589b3-43d5-2d0f-a98c-b2e4f1e5ad39
Q19519383,Dale Last,2015-01-31,,Q5355182,Burdekin,Q1822905,Liberal National Party of Queensland,Q19519383-489DF171-149B-4465-BE68-5EC11A408EAF
Q19519415,Tony Perrett,2015-01-31,,Q5355481,Gympie,Q1822905,Liberal National Party of Queensland,Q19519415-D363CDEF-09AB-462B-9DB5-30F40C5C0AC4
Q19519496,Christian Rowan,2015-01-31,,Q5355676,Moggill,Q1822905,Liberal National Party of Queensland,Q19519496-C8F20D05-3F89-48AC-AD4B-1F0A82D86812
Q19519532,Lachlan Millar,2015-01-31,,Q5355473,Gregory,Q1822905,Liberal National Party of Queensland,Q19519532-d88c0a25-4924-218f-ff4a-f170845c0c54
Q19561158,Brittany Lauga,2015-01-31,,Q5355562,Keppel,Q55604512,Australian Labor Party (Queensland Branch),Q19561158-A4AE9650-8EF7-404B-9086-5F8C194C426B
Q19561555,Steven Miles,2017-11-25,,Q5355745,Murrumba,Q55604512,Australian Labor Party (Queensland Branch),Q19561555-eb3fec6d-4ae0-c8b8-3d13-004ccb374c7c
Q19605045,Bruce Saunders,2015-01-31,,Q5355638,Maryborough,Q55604512,Australian Labor Party (Queensland Branch),Q19605045-7794eeec-4524-acd1-7e72-b087e6cbddca
Q25934831,David Janetzki,2016-07-16,,Q5356037,Toowoomba South,Q1822905,Liberal National Party of Queensland,Q25934831-a13d0430-4a96-52c0-b17e-60390fb26066
Q38494783,Jonty Bush,2020-10-31,,Q30641927,Cooper,Q55604512,Australian Labor Party (Queensland Branch),Q38494783-4eef1de2-4a9d-9d60-ecb7-25f6d40aad63
Q43723931,Brent Mickelberg,2017-11-25,,Q5355170,Buderim,Q1822905,Liberal National Party of Queensland,Q43723931-85144e01-43f9-6585-1cc6-f20f9577d321
Q43724662,Charis Mullen,2017-11-25,,Q30641922,Jordan,Q55604512,Australian Labor Party (Queensland Branch),Q43724662-42adde2b-4620-5302-59de-e35374bc13eb
Q43724669,Colin Boyce,2017-11-25,2022-03-29,Q5355199,Callide,Q1822905,Liberal National Party of Queensland,Q43724669-8985eeff-4cc9-0fd9-9638-c62ebd64d348
Q43726871,Jess Pugh,2017-11-25,,Q5355721,Mount Ommaney,Q55604512,Australian Labor Party (Queensland Branch),Q43726871-3d0dff2c-4e71-4b9b-0565-8178c41122a3
Q43726900,Corrine McMillan,2017-11-25,,Q5355631,Mansfield,Q55604512,Australian Labor Party (Queensland Branch),Q43726900-247ae8c3-4ab1-6359-fb2d-61c103f46768
Q43727612,Dan Purdie,2017-11-25,,Q30641936,Ninderry,Q1822905,Liberal National Party of Queensland,Q43727612-bffbd963-4927-a6c9-0cd1-0ff87392775e
Q43728340,Sandy Bolton,2017-11-25,,Q5355786,Noosa,Q327591,independent politician,Q43728340-03563a98-4a0c-f4a8-ae0a-22104eb706ed
Q43851899,Cynthia Lui,2017-11-25,,Q5355267,Cook,Q55604512,Australian Labor Party (Queensland Branch),Q43851899-b64f9e63-458b-65f0-f168-6493a3a853dd
Q43964310,Sam O'Connor,2017-11-25,,Q30641900,Bonney,Q1822905,Liberal National Party of Queensland,Q43964310-59bfe6a6-4383-c846-3480-4eb3aab7805b
Q44045315,Bart Mellish,2017-11-25,,Q5355056,Aspley,Q55604512,Australian Labor Party (Queensland Branch),Q44045315-55268c32-4b8d-4f1f-caa8-5f6e21af5eea
Q44113020,Michael Healy,2017-11-25,,Q5355198,Cairns,Q55604512,Australian Labor Party (Queensland Branch),Q44113020-a5108427-4333-1c95-59af-a5b1936187f4
Q44115773,Kim Richards,2017-11-25,,Q5355890,Redlands,Q55604512,Australian Labor Party (Queensland Branch),Q44115773-46a4df95-4583-8338-a13e-796caf43e6a4
Q44116439,Stephen Andrew,2017-11-25,,Q5355667,Mirani,Q1585274,One Nation,Q44116439-091d7297-423a-3455-e4ba-11713b8629b3
Q44219403,Meaghan Scanlon,2017-11-25,,Q5355425,Gaven,Q55604512,Australian Labor Party (Queensland Branch),Q44219403-2633f8b0-4512-1095-4530-8dfaa6328ad4
Q44775990,Michael Berkman,2017-11-25,,Q30641923,Maiwar,Q7270946,Queensland Greens,Q44775990-b62a2400-444c-60d4-c0e3-1bec78a92e65
Q44775995,Melissa McMahon,2017-11-25,,Q30641915,Macalister,Q55604512,Australian Labor Party (Queensland Branch),Q44775995-c2da9a0b-40f1-acf1-33bc-a16147a5b907
Q45005820,Nick Dametto,2017-11-25,,Q5355515,Hinchinbrook,Q6378340,Katter's Australian Party,Q45005820-c3b4647d-4574-20d0-68e9-b163b47c321a
Q47541988,James Lister,2017-11-25,,Q5355962,Southern Downs,Q1822905,Liberal National Party of Queensland,Q47541988-351844f2-4c1d-86ef-48af-d0f067f3de1e
Q47545518,Jim McDonald,2017-11-25,,Q5355605,Lockyer,Q1822905,Liberal National Party of Queensland,Q47545518-60d2dc3e-4b2f-89cd-a44e-e6b863f6a4b1
Q47545523,Barry O'Rourke,2017-11-25,,Q5355906,Rockhampton,Q55604512,Australian Labor Party (Queensland Branch),Q47545523-183b9154-419e-fab7-8744-4b0325319ad2
Q4758300,Andrew Powell,2009-03-21,,Q5355443,Glass House,Q1822905,Liberal National Party of Queensland,Q4758300-5CA0AFAE-A7B5-4892-885F-B3591375FA20
Q4768021,Annastacia Palaszczuk,2006-09-09,,Q5355525,Inala,Q55604512,Australian Labor Party (Queensland Branch),Q4768021-F925EDEB-9A91-48B7-85A1-163336E2C616
Q5026232,Cameron Dick,2015-01-31,,Q5356151,Woodridge,Q55604512,Australian Labor Party (Queensland Branch),Q5026232-5d585005-49a6-9ec6-1ec3-3569966a5232
Q5195856,Curtis Pitt,2009-03-21,,Q5355729,Mulgrave,Q55604512,Australian Labor Party (Queensland Branch),Q5195856-69C50E2D-F955-4279-8486-7B4D6677DD70
Q5232664,David Crisafulli,2017-11-25,,Q5355162,Broadwater,Q1822905,Liberal National Party of Queensland,Q5232664-b2811223-45b1-3b56-8784-e8abe97549f2
Q5247768,Deb Frecklington,2012-03-24,,Q5355750,Nanango,Q1822905,Liberal National Party of Queensland,Q5247768-877E62A9-AA4E-4886-AABB-9F614540D969
Q5270029,Di Farmer,2015-01-31,,Q5355171,Bulimba,Q55604512,Australian Labor Party (Queensland Branch),Q5270029-a4efae62-402a-aeb0-a6bf-e4344faceb05
Q5451108,Fiona Simpson,1992-09-19,,Q17012097,Maroochydore,Q1822905,Liberal National Party of Queensland,Q5451108-A1B6C603-4476-4B73-9E59-44AB3BC29F37
Q5591194,Grace Grace,2017-11-25,,Q30641935,McConnel,Q55604512,Australian Labor Party (Queensland Branch),Q5591194-c65701f2-4904-a0ed-359f-262c4ad0bf51
Q6161053,Jarrod Bleijie,2009-03-21,,Q5355554,Kawana,Q1822905,Liberal National Party of Queensland,Q6161053-B9FAF370-0F29-4476-9527-5DAFEDDA0E77
Q6217360,John-Paul Langbroek,2004-02-07,,Q5355992,Surfers Paradise,Q1822905,Liberal National Party of Queensland,Q6217360-AB2207FC-514A-4969-BB46-BA94F551C1A5
Q6271086,Jon Krause,2017-11-25,,Q30641907,Scenic Rim,Q1822905,Liberal National Party of Queensland,Q6271086-cf76d48c-40a0-605a-e387-e5a41321d62d
Q6766782,Mark Boothman,2017-11-25,,Q30641906,Theodore,Q1822905,Liberal National Party of Queensland,Q6766782-39ffc25d-4794-a7ad-22c6-67e062d70821
Q6767697,Mark Furner,2015-01-31,,Q5355395,Ferny Grove,Q55604512,Australian Labor Party (Queensland Branch),Q6767697-54681E68-C9D6-471D-8985-8A8043B832AD
Q6769470,Mark Robinson,2017-11-25,,Q30641916,Oodgeroo,Q1822905,Liberal National Party of Queensland,Q6769470-db30458c-42f1-ce02-950d-5e851bda6b66
Q6769538,Mark Ryan,2015-01-31,,Q5355691,Morayfield,Q55604512,Australian Labor Party (Queensland Branch),Q6769538-9a39076a-4445-463f-4b6b-9abcbd6e110c
Q6829524,Michael Crandon,2009-03-21,,Q5355271,Coomera,Q1822905,Liberal National Party of Queensland,Q6829524-1C5176BF-602F-4648-89CA-84FEC110F16B
Q6830979,Michael Hart,2012-03-24,,Q5355184,Burleigh,Q1822905,Liberal National Party of Queensland,Q6830979-DF21C2F3-F5B2-4BC3-8033-9089D6C3DB61
Q7298155,Ray Stevens,2009-03-21,,Q5355650,Mermaid Beach,Q1822905,Liberal National Party of Queensland,Q7298155-747ca009-4556-5461-0975-cde89575d3b9
Q7340263,Rob Katter,2017-11-25,,Q30641938,Traeger,Q6378340,Katter's Australian Party,Q7340263-3ecd684e-4a4b-a65d-f773-228feb193876
Q7340386,Rob Molhoek,2012-03-24,,Q5355965,Southport,Q1822905,Liberal National Party of Queensland,Q7340386-90D4A25B-5D88-4235-BEF0-CC0CAC1CA477
Q7366970,Ros Bates,2009-03-21,,Q5355726,Mudgeeraba,Q1822905,Liberal National Party of Queensland,Q7366970-CA40F9D4-4AB8-4386-9A54-15F6113F3C14
Q7488127,Shane Knuth,2017-11-25,,Q30641934,Hill,Q6378340,Katter's Australian Party,Q7488127-4d788b39-4ba7-4d48-49c3-545089d9b3fa
Q7608697,Stephen Bennett,2012-03-24,,Q5355185,Burnett,Q1822905,Liberal National Party of Queensland,Q7608697-7EDB1F71-8DB6-4A96-8390-C7F1929BBDE3
Q7613391,Steve Minnikin,2012-03-24,,Q5355233,Chatsworth,Q1822905,Liberal National Party of Queensland,Q7613391-EC9E354E-0522-4D30-BDDC-D103B627B066
Q7617574,Stirling Hinchliffe,2015-01-31,,Q5355923,Sandgate,Q55604512,Australian Labor Party (Queensland Branch),Q7617574-b22c3509-4da6-b48c-2996-290b39280783
Q7803885,Tim Mander,2012-03-24,,Q5355389,Everton,Q1822905,Liberal National Party of Queensland,Q7803885-F86A5864-2F87-484B-A7B1-EC1305DA5BA4
Q7804046,Tim Nicholls,2006-09-09,,Q5355241,Clayfield,Q1822905,Liberal National Party of Queensland,Q7804046-2AC666DA-3009-466D-907F-1661519A2F72
Q7839480,Trevor Watts,2012-03-24,,Q17003566,Toowoomba North,Q1822905,Liberal National Party of Queensland,Q7839480-A860FCAC-0F9B-44A1-B676-6032A85A074C
Q8062364,Yvette D'Ath,2014-02-22,,Q5355888,Redcliffe,Q55604512,Australian Labor Party (Queensland Branch),Q8062364-5faa2b19-4d92-8bdb-b426-8f49ea055bb1
Q89295140,Laura Gerber,2020-03-28,,Q5355299,Currumbin,Q1822905,Liberal National Party of Queensland,Q89295140-98973435-4778-74ee-9d88-978bce91163b
Q89388718,Lance McCallum,2020-03-28,,Q5355180,Bundamba,Q55604512,Australian Labor Party (Queensland Branch),Q89388718-f164f120-43a3-173b-5174-75c188dc0c7d
